Transaction_ID,Customer_ID,Transaction_Date,Transaction_Time,Amount,Merchant,Location,Device,Is_International,Is_HighRisk_Country,Transaction_Type,Fraud_Flag,Hour
34,f8257e64-0289-4c5e-b0be-6378d42f3a02,11-03-2024,17:13:14,8610.56,Blinkit,Jaipur,Mobile,Yes,Yes,Online,Fraud,17
35,99c0b74c-3881-44f3-bab1-221713d87598,25-05-2024,20:39:12,2905.82,Blinkit,Delhi,Mobile,No,No,In-store,Fraud,20
36,eb473869-691e-474e-8739-406fb388169d,19-12-2024,06:54:26,3654.75,Myntra,Jaipur,Mobile,No,Yes,In-store,Fraud,6
37,74c2db95-e732-4f42-b59e-ed0e8de3b23a,08-08-2024,04:32:13,3737.88,Blinkit,Delhi,Desktop,Yes,No,In-store,Fraud,4
38,a3ce5f05-32b9-42eb-80f9-d9ccb161a7bb,07-08-2023,21:12:43,3617.42,Zepto,Delhi,Mobile,Yes,Yes,ATM,Fraud,21
39,543daae4-7f6c-4412-bbf6-e3d878ea0a8d,05-03-2025,14:18:47,1389.89,Blinkit,Hyderabad,Tablet,Yes,Yes,Online,Fraud,14
40,5139b37f-d131-43f3-93ae-c51a77ccc0f1,08-05-2024,19:09:57,8521.45,Zepto,Hyderabad,Mobile,No,Yes,ATM,Fraud,19
41,35ca5f11-e39c-4ab1-bbda-2fe76a89b4c4,10-03-2024,10:39:59,4914.56,Amazon,Delhi,Mobile,Yes,No,In-store,Fraud,10
42,ed6ce512-830a-4593-aca3-91ad9df20495,10-04-2025,18:58:22,9279.08,Nykaa,Mumbai,Mobile,Yes,No,POS,Fraud,18
43,5b92a590-3974-4eb3-ac0f-0f4e388aeee4,09-11-2023,10:19:01,1746.37,Zepto,Delhi,Tablet,Yes,No,Online,Fraud,10
44,4b013fe9-3f0d-45d7-bcc6-23dcf17c7471,14-03-2025,15:43:35,1594.95,Zepto,Hyderabad,Mobile,Yes,No,ATM,Fraud,15
45,b7bf715d-d757-4ff9-94a9-90ae530d5bba,21-03-2025,01:12:14,883.74,Flipkart,Jaipur,Mobile,Yes,No,ATM,Fraud,1
46,98404e49-d23b-4235-a47b-cd6fa0ed57c0,08-07-2025,00:22:26,2035.62,Zepto,Jaipur,Tablet,Yes,Yes,Bank Transfer,Fraud,0
47,854540fe-1d41-4790-a5cf-a612e9772b03,04-03-2024,19:29:24,2304.85,Zepto,Chennai,Mobile,No,No,ATM,Fraud,19
48,ff550afb-cc91-4fdd-a6b0-fc6ae28f9589,29-01-2025,08:12:37,4126.58,Flipkart,Kolkata,Desktop,No,No,In-store,Fraud,8
49,f43eb15f-4c9a-48e4-8f6f-3dae99fb2bc9,07-03-2024,08:58:56,6882.66,BigBasket,Jaipur,Mobile,No,No,Bank Transfer,Fraud,8
50,24f83576-eed4-486a-80b5-5c6591d44d66,17-03-2024,18:35:50,5151.4,Blinkit,Kolkata,Mobile,Yes,No,In-store,Fraud,18
51,76a2bac0-0540-489d-8845-f54bf8a2b1e5,31-08-2023,08:29:27,1326.05,Zepto,Delhi,Desktop,No,No,Online,Fraud,8
52,4037b393-94b9-4e2e-982e-9df09f9777ae,28-07-2025,03:45:55,3661.79,Amazon,Delhi,Desktop,Yes,No,ATM,Fraud,3
53,46245f68-83c0-4d8c-bc21-e46f9771c6f4,06-10-2024,08:20:05,8447.66,Amazon,Delhi,Mobile,No,Yes,Bank Transfer,Fraud,8
54,56a34f96-2463-4faa-a7f3-cce62df79053,02-09-2024,18:10:21,1349.24,Myntra,Mumbai,Mobile,No,No,Bank Transfer,Fraud,18
55,8b752945-1c9a-4908-a0ec-94e5e0a04a72,31-10-2023,07:17:45,4610.45,Flipkart,Delhi,Mobile,No,No,Online,Fraud,7
56,47054e32-c09e-44c5-98ef-acf11a495e09,21-06-2024,14:46:12,674.29,BigBasket,Delhi,Mobile,Yes,Yes,ATM,Fraud,14
57,bcec9475-acde-4170-a242-ca7962b920fa,09-07-2024,18:23:23,5357.98,Nykaa,Hyderabad,Mobile,No,No,In-store,Fraud,18
58,2516d2ea-ccb3-482e-8fac-c3dc35df4944,18-12-2023,01:06:41,7852.84,Zepto,Chennai,Tablet,Yes,No,In-store,Fraud,1
59,5fc12a68-1a85-4582-8a42-0805d301cce5,14-10-2023,04:06:12,7471.21,Myntra,Bangalore,Mobile,No,Yes,ATM,Fraud,4
60,6ac4a5e7-7140-4e8b-a9c6-fc231bc7fc17,21-05-2024,16:06:51,4468.24,Zepto,Jaipur,Mobile,Yes,Yes,POS,Fraud,16
61,2c2b2667-b070-4777-92fa-a0a25f4e032d,18-03-2024,03:17:38,9837.84,Myntra,Kolkata,Mobile,No,No,POS,Fraud,3
62,5fb145e1-f0d3-454c-885e-1d70c40cbe4e,15-05-2025,17:36:26,6295.47,Blinkit,Jaipur,Mobile,Yes,No,ATM,Fraud,17
63,6132c15a-8976-4d48-874e-0d9c2e53357e,16-03-2024,14:28:14,7058.65,Flipkart,Pune,Mobile,Yes,Yes,In-store,Fraud,14
64,7035154e-09d9-4bf7-bff1-ac8cb97d8e90,03-03-2024,11:42:53,7448.94,Zepto,Pune,Desktop,Yes,No,Bank Transfer,Fraud,11
65,2546b4d0-cc7d-4ab7-907a-f155762d5cc8,08-04-2025,18:47:17,6854.69,Amazon,Kolkata,Mobile,Yes,Yes,In-store,Fraud,18
66,e4a265c0-fe51-4599-852f-6f60f3c2158c,18-05-2025,17:29:15,594.86,Nykaa,Chennai,Mobile,No,No,ATM,Fraud,17
67,5a8600d4-4e6f-4414-abfb-d5a714f28774,05-01-2024,03:41:14,8535.18,Blinkit,Bangalore,Mobile,Yes,Yes,Bank Transfer,Fraud,3
68,188709e0-3c76-4548-b67c-7721af9ea7ad,15-07-2025,02:39:09,2481.98,Zepto,Bangalore,Tablet,Yes,Yes,Bank Transfer,Fraud,2
69,bda4a08b-1ce8-493a-8a20-165ae6955ef7,21-05-2025,00:00:28,6775.88,Myntra,Hyderabad,Mobile,Yes,Yes,ATM,Fraud,0
70,88d51933-fca1-4578-95f4-416dc8f8d2de,24-10-2023,10:33:09,1987.9,Amazon,Chennai,Desktop,Yes,No,Online,Fraud,10
71,dd09b131-efcb-421d-841f-9820bfae7abb,17-01-2025,06:32:02,4724.29,Flipkart,Chennai,Mobile,No,Yes,POS,Fraud,6
72,ef5b4ed7-b82c-4127-bf25-f76e2f0afaf6,25-08-2024,10:09:16,8344.87,Flipkart,Chennai,Mobile,No,No,Bank Transfer,Fraud,10
73,6b7b25b2-2a70-40e6-a847-772bc5e0e645,26-04-2025,08:50:58,8826.44,Flipkart,Bangalore,Desktop,No,No,POS,Fraud,8
74,caaace87-11dc-474a-afd1-3073755cc9a0,20-10-2024,23:57:35,4168.44,BigBasket,Mumbai,Mobile,No,No,In-store,Fraud,23
75,e47d86c0-9750-4c3b-a969-bf4e86aa425d,18-06-2024,20:39:20,9921.64,Blinkit,Jaipur,Tablet,No,No,In-store,Fraud,20
76,986cd29b-1da4-4192-b060-6549f3812cab,30-07-2025,10:43:12,4728.74,Blinkit,Pune,Desktop,No,No,In-store,Fraud,10
77,32915074-131a-4b07-a47e-ec857a85af93,06-05-2025,22:03:18,2454.27,Nykaa,Bangalore,Mobile,Yes,Yes,POS,Fraud,22
78,8a403693-fc3c-49bd-a36f-51207e4c8c09,14-11-2023,23:26:01,2523.01,Nykaa,Bangalore,Mobile,Yes,No,ATM,Fraud,23
79,b10cfa07-a8b6-437f-b036-6e808f2d154d,04-10-2024,03:57:08,9821,Flipkart,Pune,Desktop,No,No,ATM,Fraud,3
80,6e9bf0a4-b0f7-445e-93ad-49f085b11bf0,07-04-2024,15:11:15,3288.71,Myntra,Kolkata,Mobile,Yes,Yes,Online,Fraud,15
81,957c8cae-b1e6-4a2b-b280-abbe839c02e5,04-04-2025,00:39:52,1864.47,BigBasket,Hyderabad,Mobile,Yes,Yes,In-store,Fraud,0
82,de1d86e0-73ad-4cb1-a266-2ddba9c34e7b,17-06-2024,07:26:47,4460.27,Blinkit,Mumbai,Mobile,Yes,Yes,POS,Fraud,7
83,2b206cf0-f3d6-4eed-8615-5ec063498c5a,21-01-2024,11:54:55,26.62,Myntra,Bangalore,Desktop,No,Yes,Bank Transfer,Fraud,11
84,37d970a7-67e0-4789-8411-f5f6a44e582c,14-03-2024,08:11:30,31.25,Nykaa,Chennai,Desktop,No,Yes,Online,Fraud,8
85,fd4674fc-9669-4b1b-973b-dbb3116a5b75,05-07-2024,13:27:59,1604.24,Flipkart,Chennai,Mobile,No,No,Bank Transfer,Fraud,13
86,2c0d64dc-3553-4ace-9e45-768271e26aec,18-01-2024,01:12:58,3459.5,Nykaa,Mumbai,Mobile,No,Yes,POS,Fraud,1
87,e125d158-3849-4a78-b9e6-14fe5c92f8a5,09-06-2025,08:00:30,8757.98,Myntra,Jaipur,Desktop,Yes,Yes,In-store,Fraud,8
88,26f6ab5b-ad89-4562-9c05-4a675afe76ea,02-04-2025,04:04:48,4564.55,Amazon,Kolkata,Mobile,Yes,Yes,Online,Fraud,4
89,6d8f0066-5f46-4ca2-81f3-b9d1a6d70951,04-07-2024,08:02:04,5243.04,Amazon,Mumbai,Desktop,No,No,POS,Fraud,8
90,568e7617-87af-4f97-a5df-99179036a0de,24-11-2023,22:36:01,1328.08,Flipkart,Chennai,Mobile,No,No,In-store,Fraud,22
91,838b6f31-7adf-4b31-a7c9-6c0a1457d15b,29-07-2024,06:08:34,4887.33,BigBasket,Delhi,Tablet,Yes,Yes,In-store,Fraud,6
92,4c84ff4b-2c11-449b-9a1d-1def4afb0075,20-02-2024,15:48:41,2663.77,Amazon,Delhi,Mobile,No,Yes,Online,Fraud,15
93,55c3fa55-d22c-4c91-b452-b1af4404acaa,10-12-2024,00:24:05,3788.76,Flipkart,Delhi,Mobile,No,No,Bank Transfer,Fraud,0
94,b0af83c7-e9ac-4f6d-8231-614b6cb0b639,06-08-2023,17:58:20,2242.99,Zepto,Mumbai,Mobile,No,No,Bank Transfer,Fraud,17
95,dc3baaaa-84e1-4ffc-92f6-ed463348fd65,27-10-2024,11:36:27,1977.14,BigBasket,Delhi,Mobile,Yes,No,In-store,Fraud,11
96,43e730eb-922d-4e1d-838c-3c5be34ffebf,08-01-2024,23:35:17,7651.34,Flipkart,Jaipur,Mobile,No,No,POS,Fraud,23
97,8428952d-ecf8-414a-8fb4-ae13ba684db9,13-01-2025,13:25:22,3940.79,BigBasket,Chennai,Tablet,Yes,Yes,Online,Fraud,13
98,e9777752-240f-4d63-a999-5fed6f01a40e,05-01-2025,15:10:35,1675.27,Myntra,Delhi,Desktop,No,Yes,POS,Fraud,15
99,0c2fc466-8c75-4c4f-88a8-5ad4baae5567,18-05-2024,16:06:39,8482.72,Flipkart,Kolkata,Mobile,Yes,No,Online,Fraud,16
100,6852e4f7-c935-4893-a39c-7aa7d59783ab,04-05-2024,07:13:28,1131.8,Nykaa,Jaipur,Mobile,No,Yes,Bank Transfer,Fraud,7
101,54d7366f-942a-40c7-95e4-430846ee5412,11-12-2023,05:11:26,7921.78,Nykaa,Chennai,Desktop,Yes,No,POS,Fraud,5
102,f2fa6396-a80b-4599-9f64-6b39dddf8927,17-04-2024,06:21:56,6710.66,BigBasket,Hyderabad,Desktop,No,No,ATM,Fraud,6
103,fcffcdb6-919e-4219-8e1e-ae6428ba4284,04-08-2024,20:02:04,8462.44,BigBasket,Hyderabad,Mobile,Yes,No,POS,Fraud,20
104,dc79be3e-0ffd-4e79-b2ad-5179f754577f,29-08-2024,04:12:15,8866.8,Blinkit,Delhi,Mobile,Yes,Yes,Online,Fraud,4
105,6097b3f6-ad64-4e92-a3d4-4877b750135d,10-09-2023,03:00:31,1016.13,Blinkit,Pune,Desktop,No,No,POS,Fraud,3
106,d0f59d04-6c6b-4108-b241-ae26189079e4,06-02-2024,21:13:58,3910.42,Myntra,Jaipur,Desktop,Yes,No,In-store,Fraud,21
107,30c6da5c-bcf9-4e31-96eb-e884652f026a,13-01-2024,08:11:27,8646.78,Blinkit,Hyderabad,Mobile,No,Yes,POS,Fraud,8
108,f1076907-17f2-4a3e-9e77-6619e069210d,21-02-2025,01:55:53,3526.22,Blinkit,Jaipur,Mobile,Yes,Yes,In-store,Fraud,1
109,b9a49ef7-f02f-4be2-b4cf-50feb7026293,19-05-2025,10:57:34,7451.9,Myntra,Mumbai,Mobile,Yes,Yes,Online,Fraud,10
110,86d95b3b-67f5-4254-9457-ec6d9b98873d,17-09-2023,17:50:31,7148.82,BigBasket,Bangalore,Mobile,Yes,No,ATM,Fraud,17
111,0f49b948-d18d-46d5-a3bf-73da90f42ada,21-09-2024,21:40:25,6743,Flipkart,Jaipur,Desktop,Yes,Yes,Online,Fraud,21
112,cad760a3-0cff-42d9-9365-a8aee2512da8,09-03-2024,19:22:58,441.22,Flipkart,Mumbai,Mobile,No,Yes,Bank Transfer,Fraud,19
113,30448ea6-2bdc-4b2c-99c4-863109af6544,21-09-2024,02:51:44,7980.46,BigBasket,Bangalore,Desktop,Yes,No,ATM,Fraud,2
114,02db6807-8a73-4175-bfb7-fceffd9bd85d,22-12-2024,10:39:36,8249.8,Blinkit,Jaipur,Desktop,No,Yes,POS,Fraud,10
115,547deea7-d8e5-4b60-91f3-b92bdd5068f0,27-11-2023,20:30:09,4439.91,Blinkit,Kolkata,Mobile,No,Yes,Online,Fraud,20
116,f87df219-fd78-42e7-a793-dfaa7d6b97b3,28-02-2025,13:03:15,2546.03,Flipkart,Mumbai,Mobile,No,No,In-store,Fraud,13
117,fff8b4c7-f738-4727-9fad-e822412ce9b7,16-12-2023,04:35:35,1047.09,Blinkit,Bangalore,Mobile,No,Yes,POS,Fraud,4
118,1b9bf6de-5d6d-4855-ae9f-fa489fc7c246,20-07-2025,00:22:46,5775.38,Amazon,Bangalore,Desktop,No,No,Bank Transfer,Fraud,0
119,38cca948-5389-4bba-b420-358b374a638c,26-05-2024,15:38:41,7970.68,Flipkart,Chennai,Mobile,No,Yes,Bank Transfer,Fraud,15
120,2a3d3a01-1e5c-4f20-8e39-2df4a8e32efa,09-02-2025,11:07:24,3147.5,Flipkart,Hyderabad,Mobile,Yes,No,Bank Transfer,Fraud,11
121,7501e41b-37dd-497b-b8e4-c0c950449dbd,15-04-2024,05:23:49,6446.48,Myntra,Chennai,Mobile,No,Yes,POS,Fraud,5
122,0a4ad47b-1258-469a-8beb-23465dacc2c0,29-01-2025,20:16:33,3553.03,Nykaa,Jaipur,Mobile,Yes,Yes,ATM,Fraud,20
123,ddb766d0-33dd-4e39-bcc0-1fa918c1fb39,20-11-2024,00:51:10,5366.52,BigBasket,Bangalore,Desktop,No,Yes,ATM,Fraud,0
124,b1182a28-98d7-495d-ab4f-bfe9a170793a,25-04-2025,00:31:06,6743.43,Zepto,Hyderabad,Mobile,No,Yes,In-store,Fraud,0
125,945fdcea-bba6-4364-9c00-330e0b9129b9,07-06-2025,08:39:33,8108.21,Myntra,Kolkata,Tablet,No,Yes,POS,Fraud,8
126,212a67ae-1ba7-4c76-941b-fcd6267ff168,10-06-2024,13:40:46,6956.47,Nykaa,Kolkata,Mobile,No,No,ATM,Fraud,13
127,5677f4cf-109f-4b88-a40a-c8376a482961,08-04-2024,06:14:02,2892.77,Flipkart,Mumbai,Mobile,No,Yes,In-store,Fraud,6
128,99ac843d-abeb-468b-9fb4-1e815f44d8de,20-01-2025,19:10:05,9525.31,Myntra,Mumbai,Mobile,Yes,No,Bank Transfer,Fraud,19
129,42b88c0a-d5f8-40df-8ce5-df62d49e6c6f,28-10-2024,00:06:06,7488.46,Nykaa,Delhi,Desktop,Yes,Yes,Online,Fraud,0
130,9a41169e-da99-45b8-bd87-8b509bb26d81,28-01-2025,17:11:44,2280.53,Flipkart,Hyderabad,Mobile,No,No,ATM,Fraud,17
131,0d27d3b5-03a6-4de3-a469-1d613f839cd0,27-11-2024,10:54:47,3651.15,Nykaa,Pune,Desktop,Yes,Yes,In-store,Fraud,10
132,a988d2c9-a43e-40be-9556-77e2eac093d2,11-01-2024,17:36:22,5416.49,Flipkart,Pune,Mobile,No,No,Online,Fraud,17
133,c1d025a5-70ad-4752-b2ab-b2aa35ef4aaa,16-05-2024,07:42:27,7267.12,Myntra,Mumbai,Desktop,No,No,Bank Transfer,Fraud,7
134,85240a7f-ef1e-47b3-8f0a-b192554ec84c,13-09-2023,08:10:37,6733.91,Zepto,Hyderabad,Mobile,No,Yes,Online,Fraud,8
135,a9247fd0-fd7a-4d4d-a6a6-c1bbca9924d3,06-02-2025,22:11:53,1486.01,Zepto,Pune,Mobile,Yes,No,POS,Fraud,22
136,0a938acf-10b5-43c8-900f-b3e4433ee556,17-04-2024,12:44:30,7988.04,Zepto,Bangalore,Desktop,No,Yes,POS,Fraud,12
137,be0678b3-e9b8-4824-9a3c-70b5be4dca5c,01-07-2024,11:28:41,8951.7,BigBasket,Hyderabad,Mobile,No,No,ATM,Fraud,11
138,85bd5afe-07ae-4d4d-a178-e834e9dc2207,04-11-2024,08:24:06,7028.91,Nykaa,Mumbai,Tablet,No,No,Bank Transfer,Fraud,8
139,55f435d5-f1b0-46d9-b0d1-7e99f09ea6e3,13-07-2024,11:45:21,6870.88,Flipkart,Kolkata,Mobile,Yes,Yes,POS,Fraud,11
140,c660d459-54ca-4505-b1c5-d4436dc06650,10-05-2024,08:04:21,1835.55,Blinkit,Pune,Mobile,Yes,Yes,In-store,Fraud,8
141,45cc8f09-5ee6-4e01-a1b7-1dad7fccf32e,10-02-2024,01:52:30,1548.79,Blinkit,Bangalore,Mobile,No,Yes,Online,Fraud,1
142,d930308b-8487-4f3e-ad42-72a92cb2345c,20-07-2025,06:23:07,7285.82,Amazon,Kolkata,Mobile,No,No,POS,Fraud,6
143,9528f9b5-a0b7-4be4-97c4-2b399b58d578,06-12-2023,04:45:39,6229.01,Zepto,Bangalore,Desktop,No,No,POS,Fraud,4
144,4a652274-56d4-4928-855b-537fcc26dcdd,31-07-2025,22:52:45,1825.92,Myntra,Pune,Mobile,No,Yes,Online,Fraud,22
145,caff1e83-f38d-42d2-a227-9b5663c627ea,01-12-2024,13:35:36,799.11,Nykaa,Hyderabad,Mobile,Yes,No,ATM,Fraud,13
146,335e11e7-670e-470a-8eaf-446337b52e98,14-01-2025,07:39:41,3610.14,Blinkit,Kolkata,Tablet,Yes,No,In-store,Fraud,7
147,cf5cd646-4f00-411c-a4a6-d00fe41e0682,13-12-2023,06:23:52,2325.36,Zepto,Kolkata,Desktop,Yes,Yes,ATM,Fraud,6
148,fd6f3204-9e97-4353-a519-873170084e97,31-01-2024,17:29:20,7218.2,Nykaa,Mumbai,Mobile,No,No,POS,Fraud,17
149,1baa19ac-384b-457f-bf9b-75e59b737ba5,07-01-2025,02:33:29,2603.53,Blinkit,Chennai,Desktop,No,No,Bank Transfer,Fraud,2
150,218ef4f1-adf4-4c08-a3a4-a7fd8b279d1b,28-11-2023,02:17:16,7530.88,Myntra,Bangalore,Mobile,No,No,Online,Fraud,2
151,5d19562e-2406-4595-927f-92da449cd378,01-08-2024,14:41:55,2709.41,Zepto,Chennai,Mobile,Yes,Yes,ATM,Fraud,14
152,d5241f50-a518-42be-89b5-b6c8f7f0e9d5,09-06-2024,03:06:38,110.65,Nykaa,Pune,Mobile,Yes,Yes,In-store,Fraud,3
153,aafb95cb-4243-4811-9433-47b8b2b55eb0,13-07-2025,00:22:39,7631.36,Myntra,Kolkata,Mobile,Yes,Yes,Bank Transfer,Fraud,0
154,9a299cec-a57e-4e2a-9b18-732133d799fa,29-03-2025,18:18:45,1213.97,BigBasket,Delhi,Desktop,Yes,No,Bank Transfer,Fraud,18
155,34569bda-181b-4a60-a11e-c7bdbe75adec,18-02-2025,09:35:59,4527.35,Zepto,Mumbai,Mobile,No,Yes,POS,Fraud,9
156,abd4d80d-e980-41cc-89cb-3dea7fe5d6d0,23-11-2024,03:43:22,6492.64,Myntra,Delhi,Desktop,No,No,POS,Fraud,3
157,d98de532-8a43-4c24-925b-2abf95a4b7f1,18-06-2025,19:13:53,5040.45,BigBasket,Delhi,Mobile,Yes,Yes,Bank Transfer,Fraud,19
158,94ac3d72-30d9-490e-b11e-4e27c67504a6,20-10-2023,08:04:09,4377.91,Blinkit,Chennai,Desktop,No,No,POS,Fraud,8
159,a523490c-cc4d-4741-bf6c-616e2082cde6,09-01-2025,14:23:56,4156.14,Blinkit,Pune,Tablet,No,No,In-store,Fraud,14
160,15126ed9-dcdd-4805-8a82-00a299341c94,30-05-2024,21:01:12,9271.84,Nykaa,Pune,Mobile,Yes,Yes,ATM,Fraud,21
161,59d904fb-f074-419d-beb4-eceb9972dd9e,23-03-2025,12:15:05,5316.51,Myntra,Jaipur,Mobile,No,No,ATM,Fraud,12
162,96f7f831-e064-4d21-9288-372afc6eb2ae,22-01-2024,03:20:36,2539.1,Zepto,Jaipur,Mobile,No,Yes,Bank Transfer,Fraud,3
163,58e29ac8-13d5-4001-bc9e-0e93e7f0b6da,18-04-2025,06:00:06,4227.68,Zepto,Chennai,Mobile,Yes,No,POS,Fraud,6
164,83899ed2-044f-42b6-97c0-b59ea7675676,18-11-2023,06:41:28,3643.9,Amazon,Delhi,Mobile,No,No,POS,Fraud,6
165,003446ac-ba4f-428e-8992-56c4a9e0a497,28-11-2023,13:56:37,9422.01,Zepto,Chennai,Tablet,Yes,Yes,ATM,Fraud,13
166,a4c1cf5d-ca30-4b97-999a-119bdb20bbde,10-12-2024,21:21:43,9519.25,BigBasket,Pune,Mobile,Yes,Yes,ATM,Fraud,21
167,e8909a46-04d8-48c6-9e57-0cbf16362ef2,02-04-2024,00:17:49,6299.98,Nykaa,Kolkata,Mobile,Yes,Yes,POS,Fraud,0
168,eb26ad0c-d2dd-4544-997a-39a9c7f84e2e,19-11-2023,11:47:48,9087.82,Blinkit,Jaipur,Mobile,Yes,No,Bank Transfer,Fraud,11
169,43da7421-6a3e-4d81-9235-b05255c19133,08-03-2025,21:23:37,3720.44,Blinkit,Bangalore,Mobile,Yes,Yes,POS,Fraud,21
170,9bd90121-d99c-40b6-8f8c-eda009dd0574,12-09-2024,03:29:46,3236.98,Nykaa,Delhi,Mobile,Yes,No,Bank Transfer,Fraud,3
171,cc952bf2-b0bd-4dab-abe3-d02f1b0bf86b,13-12-2024,17:35:16,4999.59,Nykaa,Chennai,Mobile,Yes,No,POS,Fraud,17
